Ref,Val,Package,PosX,PosY,Rot,Side
"BT3","3.7v","105070",75.000000,10.000000,180.000000,bottom
"BT4","3.7v","105070",25.000000,10.000000,180.000000,bottom
"TH3","10K","R_0402",75.000000,12.000000,0.000000,bottom
"TH4","10K","R_0402",25.000000,12.000000,0.000000,bottom
"BT1","3.7v","105070",25.000000,10.000000,0.000000,top
"BT2","3.7v","105070",75.000000,10.000000,0.000000,top
"C1","0.1u","C_0402",31.225000,22.500000,180.000000,top
"C2","0.1u","C_0402",29.150000,22.500000,180.000000,top
"C3","0.1u","C_0402",27.075000,22.500000,180.000000,top
"C4","0.1u","C_0402",25.000000,22.500000,180.000000,top
"C5","0.1u","C_0402",21.225000,23.000000,270.000000,top
"C6","2.2u","C_0402",31.750000,20.250000,0.000000,top
"D1","BAT54HT1G","D_SOD-323",32.250000,24.500000,180.000000,top
"Q1","CSD17308Q3","VSON-8_3.3x3.3mm_Pitch0.65mm_NexFET",3.780000,25.000000,90.000000,top
"Q2","CSD17308Q3","VSON-8_3.3x3.3mm_Pitch0.65mm_NexFET",3.720000,29.980000,270.000000,top
"Q3","2N7002","SOT-23",2.750000,35.500000,90.000000,top
"R1","NET-TIE","R_0402",19.000000,15.000000,0.000000,top
"R2","100R","R_0402",30.000000,24.000000,270.000000,top
"R3","100R","R_0402",28.750000,24.000000,270.000000,top
"R4","100R","R_0402",27.500000,24.000000,270.000000,top
"R5","100R","R_0402",26.250000,24.000000,270.000000,top
"R6","100R","R_0402",19.725000,22.375000,0.000000,top
"R7","0.001R","R_1206",17.500000,23.000000,270.000000,top
"R8","100R","R_0402",19.725000,23.625000,0.000000,top
"R10","10M","R_0402",7.750000,24.000000,0.000000,top
"R11","5.1K","R_0402",7.250000,25.750000,270.000000,top
"R12","100R","R_0402",5.750000,27.500000,180.000000,top
"R13","10M","R_0402",3.000000,32.750000,0.000000,top
"R14","5.1K","R_0402",5.750000,36.500000,180.000000,top
"R15","10K","R_0402",5.750000,37.750000,0.000000,top
"R16","10K","R_0402",5.750000,35.250000,0.000000,top
"R17","100R","R_0402",23.000000,14.000000,180.000000,top
"R18","100R","R_0402",23.000000,12.750000,180.000000,top
"R19","100R","R_0402",23.000000,16.500000,180.000000,top
"R20","100R","R_0402",23.000000,15.250000,180.000000,top
"TH1","10K","R_0402",25.000000,12.000000,0.000000,top
"TH2","10K","R_0402",75.000000,12.000000,0.000000,top
"U1","bq40z50-r2","QFN-32_EP_3.8x3.8_Pitch0.4mm",28.000000,18.250000,270.000000,top
